Termo_Original,Label,Motivo,Resposta_LLM,Erro
santo,BACIA,Não reconhecido pelo LLM,UNKNOWN_TERM,
jiqui,UNIDADE_CRONO,Não reconhecido pelo LLM,UNKNOWN_TERM,
barra,CAMPO,Não reconhecido pelo LLM,UNKNOWN_TERM,
velha,UNIDADE_LITO,Não reconhecido pelo LLM,UNKNOWN_TERM,
stones,ROCHA,Não reconhecido pelo LLM,UNKNOWN_TERM,
pelotas,BACIA,Não reconhecido pelo LLM,UNKNOWN_TERM,
brsa,POÇO,Não reconhecido pelo LLM,UNKNOWN_TERM,
retiro,UNIDADE_LITO,Não reconhecido pelo LLM,UNKNOWN_TERM,
epinephelus,FOSSEIS,Não reconhecido pelo LLM,UNKNOWN_TERM,
2anp1,POÇO,Não reconhecido pelo LLM,UNKNOWN_TERM,
brsa1053,POÇO,Não reconhecido pelo LLM,UNKNOWN_TERM,
1seq1,POÇO,Não reconhecido pelo LLM,UNKNOWN_TERM,
andaraptiano,UNIDADE_CRONO,Não reconhecido pelo LLM,UNKNOWN_TERM,
fluvio,PALEOAMBIENTE,Não reconhecido pelo LLM,UNKNOWN_TERM,
lapa,CAMPO,Não reconhecido pelo LLM,UNKNOWN_TERM,
8buz,POÇO,Não reconhecido pelo LLM,UNKNOWN_TERM,
eo,UNIDADE_CRONO,Não reconhecido pelo LLM,UNKNOWN_TERM,
volcaniclastics,ROCHA,,,504 Deadline Exceeded
bve100,POÇO,Não reconhecido pelo LLM,UNKNOWN_TERM,
candonacentroimpressa,FOSSEIS,Não reconhecido pelo LLM,UNKNOWN_TERM,
brsa1159,POÇO,Não reconhecido pelo LLM,UNKNOWN_TERM,
paranacampos,BACIA,Não reconhecido pelo LLM,UNKNOWN_TERM,
bve300,POÇO,Não reconhecido pelo LLM,UNKNOWN_TERM,
bve200,POÇO,Não reconhecido pelo LLM,UNKNOWN_TERM,
2seq5,POÇO,Não reconhecido pelo LLM,UNKNOWN_TERM,
2seq1,POÇO,Não reconhecido pelo LLM,UNKNOWN_TERM,
raso,PALEOAMBIENTE,Não reconhecido pelo LLM,UNKNOWN_TERM,
açúcar,CAMPO,Não reconhecido pelo LLM,UNKNOWN_TERM,
